Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C4, C6, C7, C8, C9",0402,7,100 nF,C1523
C11,0805,1,100 pF,C1790
C2,0402,1,47 nF,C1622
C3,0402,1,1.0 uF,C1592
C5,EEE-FT1H470AP,1,47 uF,C92059
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST,C160258
J2,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,C7470090
L1,0201,1,15 nH,C86097
L4,0805,1,10 uH,C88173
"TP1, TP2, TP3",TestPoint_Pad_1.0x1.0mm,3,TestPoint,
U3,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,1,nRF52840,C3606653
U4,Wio-SX11262_footprint,1,Wio-SX1262,
