Designator,Mid X,Mid Y,Rotation,Layer
C1,97.0,-63.0,270.0,top
C11,96.0,-73.0,180.0,top
C12,99.552089,-57.905627,180.0,top
C2,99.643129,-66.588274,90.0,top
C3,98.411771,-66.588274,90.0,top
C4,98.463826,-69.343423,90.0,top
C5,91.329947,-79.0,0.0,top
C6,98.246355,-64.017596,90.0,top
C7,89.680888,-68.001807,270.0,top
C8,90.818425,-63.522929,180.0,top
C9,90.241886,-71.758403,180.0,top
J1,93.75,-86.0,0.0,top
J2,86.365,-69.46,180.0,top
L1,101.0,-66.0,180.0,top
L4,100.860223,-64.428015,0.0,top
U3,94.05,-67.8,0.0,top
U4,94.555,-50.8,0.0,top
